S.No,reviews_list,Category,'Review type',,,,
64,'excellent service',Service,Positive,,,,
65,'Slow Service',Service,'Negative ',,,,
66,'Food taste and quality is good','Food Taste',Positive,,,,
67,'Tried Burger Next Tripple Zinger taste was good','Food Taste',Positive,,,,
68,'Service was satisfied',Service,Positive,,,,
69,'Affordable Price','Value of Money',Positive,,,,
70,'Lunch menu was good and also food quality','Food Taste',Positive,,,,
71,'Service was satisfied',Service,Positive,,,,
72,'Wonderful, tasty food ','Food Taste',Positive,,,
73,'satisfying service',Service,Positive,,,,
74,'Environment is also good',Ambience,Positive,,,,
75,'Taste great','Food Taste',Positive,,,,
76,'Environmentvwas not too  good, atmosphere was warm',Ambience,'Negative ',,,
77,'delicious food,  highly recommended.','Food Taste',Positive,,,
78,'Good Service',Service,Positive,,,,
79,'Price is also not too expensive','Value of Money',Positive,,,,
80,'Food was super awesome','Food Taste',Positive,,,,
81,'loved the prompt service',Service,Positive,,,,
82,'Food was great ','Food Taste',Positive,,,,
83,'the service was too worst',Service,'Negative ',,,,
84,'Poor Taste','Food Taste','Negative ',,,,
85,'Wastage of money','Value of Money','Negative ',,,,
86,'Pathetic Service',Service,'Negative ',,,,
87,'Ambiance was not so good, Worst experience',Ambience,'Negative ',,,
88,'Worst food taste','Food Taste','Negative ',,,,
89,'Good Quality  Food','Food Taste',Positive,,,,
90,'poor taste','Food Taste',Positive,,,,
91,'Taste was so delicious','Food Taste',Positive,,,,
92,'Amazing quality amazing taste ','Food Taste',Positive,,,,
93,'pocket friendly price','Value of Money',Positive,,,,
94,' tasted delicious especially the Burger Sauce is what makes it unique.','Food Taste',Positive,,,,
95,'I believe it was worth spending ','Value of Money',Positive,,,,
96,' it was the worst experience i ever had. The quantity and the taste both were worst','Food Taste','Negative ',,,,
97,'Order was not even worth a penny. ','Value of Money','Negative ',,,,
98,'Their food was literally pathetic badly disappointment','Food Taste','Negative ',,,,
99,' I wasnot expecting that food is  so good and delicious ','Food Taste',Positive,,,,
100,'the charges were more shocking and pocket friendly','Value of Money',Positive,,,,
101,'A full and fantastic meal in very pocket friendly amount','Value of Money',Positive,,,,
102,'shawarma which turned out to be pretty amazing with the perfect balance of flavour','Food Taste',Positive,,,,
103,' The taste was delicious and it is super spicy','Food Taste',Positive,,,,
104,'best in taste','Food Taste',Positive,,,,
105,' it was delightfully rich and reasonably satisfying in taste','Food Taste',Positive,,,,
106,' it was delightfully rich and reasonably satisfying in taste',Service,Positive,,,,
107,'Worst Service',Service,'Negative ',,,,
108,' the quantity of the food and taste was very less','Food Taste','Negative ',,,,
109,'Price was not worth it','Value of Money','Negative ',,,,
110,'Worst experience',Service,'Negative ',,,,
111,'Worst experience','Food Taste','Negative ',,,,
112,'Worst decision and Worst food ','Food Taste','Negative ',,,,
113,'Worst Service',Service,'Negative ',,,,
114,'worst dining experience we have ever had',Service,'Negative ',,,,
115,'worst experience Literally',Service,'Negative ',,,,
116,'The food is overpriced it was like paying a fortune over nothing','Value of Money','Negative ',,,,
117,' willing to waste their money  worst experience ever.',Service,'Negative ',,,,
118,'Worst Management I have seen in my life.',Service,'Negative ',,,,
119,'Worst experience food','Food Taste','Negative ',,,,
120,'Pathetic Service',Service,'Negative ',,,,
121,'Worst experience',Service,'Negative ',,,,
122,'Poor Taste','Food Taste','Negative ',,,,
123,'Worst Ambience',Ambience,'Negative ',,,,
124,'Even not worth in price','Value of Money','Negative ',,,,
125,'Food was fresh and hot','Food Taste',Positive,,,,
126,'Service was great',Service,Positive,,,,
127,'Poor Taste','Food Taste','Negative ',,,,
128,'Worst experience',Service,'Negative ',,,,
129,'Most pathetic service',Service,'Negative ',,,,
130,' the food was just average and the taste was not upto the demand.','Food Taste','Negative ',,,,
131,'Extremely bad experience',Service,'Negative ',,,,
132,'The food was mediocre at best','Food Taste','Negative ',,,,
133,'Over-Priced and mediocre','Value of Money','Negative ',,,,
134,'The chocolate dessert was delicious','Food Taste',Positive,,,,
135,' worth spending ','Value of Money',Positive,,,,
136,Food-Great,'Food Taste',Positive,,,,
137,'Great taste and convenience','Food Taste',Positive,,,,
138,'Don\'t like it, Taste is not good','Food Taste','Negative ',,,
139,'Service was not good','Food Taste','Negative ',,,,
140,'Quality and Quantity was good','Food Taste',Positive,,,,
141,' Awesome taste','Food Taste',Positive,,,,
142,'Best taste','Food Taste',Positive,,,,
143,'Amazing taste','Food Taste',Positive,,,,
144,'Taste best','Food Taste',Positive,,,,
145,'Service best','Food Taste',Positive,,,,
146,' its amazing taste fresh and clean','Food Taste',Positive,,,,
147,'It had an amazing smokey flavour to it','Food Taste',Positive,,,,
148,'best in taste and full of cheese I love it so much','Food Taste',Positive,,,,
149,'fries tasted fabulous!','Food Taste',Positive,,,,
150,'Food break never disappoints','Food Taste',Positive,,,,
151,'Excellent value for money','Value of Money',Positive,,,,
152,'Over all yummy experience taste is good completely satisfied with quality ','Food Taste',Positive,,,,
153,'excellent taste','Food Taste',Positive,,,,
154,'Exellent food taste ,quality is perfect','Food Taste',Positive,,,
155,' brunch no taste no quality','Food Taste',Positive,,,,
156,'quantity to taste, everything was up to the mark','Food Taste',Positive,,,
157,'Ambience was not good',Ambience,'Negative ',,,,
158,'TASTE WAS GOOD','Food Taste',Positive,,,,
159,'TOO MUCH EXPENSIVE INTERMS OF QUANTITY WISE','Value of Money','Negative ',,,,
160,'It was a great experience taste was so good','Food Taste',Positive,,,,
161,'Worst Dineout ever',Service,'Negative ',,,,
162,'it was not at all of a good quality','Food Taste','Negative ',,,,
163,'Icecream was tasteless','Food Taste','Negative ',,,,
164,'Worst customer service','Food Taste','Negative ',,,,
165,'he taste was literally of some sort of medicine','Food Taste','Negative ',,,,
166,'Money was literally wasted','Value of Money','Negative ',,,,
167,'Worst food ever ','Food Taste','Negative ',,,,
168,'service was very slow ',Service,'Negative ',,,,
169,' worst experience ever which I had today',Service,'Negative ',,,,
170,'Prices are already too high and quality and taste doesnot worth at all','Value of Money','Negative ',,,,
171,'such high quality food','Food Taste',Positive,,,,
172,'Bad Taste','Food Taste','Negative ',,,,
173,'All in all pretty bad experience, Food Taste is not good','Food Taste',Positive,,,
174,'The service was okay',Service,'Negative ',,,,
175,'Best taste','Food Taste',Positive,,,,
176,'Very pocket friendly.','Value of Money',Positive,,,,
177,'Worth it','Value of Money',Positive,,,,
178,'The pizza was delicious and filled with cheese.It was extremely mouthwatering.','Food Taste',Positive,,,,
179,'All of the flavors were absolutely delightful.','Food Taste',Positive,,,,
180,'The prices are also economical.','Food Taste',Positive,,,,
181,'It was absolutely rich, full of flavour and flat out amazing ','Food Taste',Positive,,,
182,'Poor food quality and taste.Very disappointed','Food Taste','Negative ',,,,
183,'The delivery was on time',Service,Positive,,,,
184,' it was an amazing experience, great flavors and the pizza was piping hot and fresh!','Food Taste',Positive,,,
185,'Everything was amazing and flavourful.Recommended.','Food Taste',Positive,,,,
186,'The taste was really good','Food Taste',Positive,,,,
187,'which is quite affordable','Value of Money',Positive,,,,
188,'All burgers had uncooked chicken and the masala fries very extremely spicy. ','Food Taste','Negative ',,,,
189,'Their customer service is pathetic! ',Service,'Negative ',,,,
190,'Taste was so delicious ','Food Taste',Positive,,,,
191,'One of the best burger in K-town','Food Taste',Positive,,,,
192,'its mouthwatering','Food Taste',Positive,,,,
193,'Had a brilliant Gigantic Burger from Bite The Burger.  and all the ingredients were fresh.','Food Taste',Positive,,,,
194,'The delivery was timely',Service,Positive,,,,
195,'extremely disgusting , dry patty , buns was not fresh , no filling inside , the drinks we ordered were like super hot to be served. ','Food Taste','Negative '
196,'No Value of Money','Value of Money','Negative ',,,,
197,'food wasnot  fresh neither tasty','Food Taste','Negative ',,,,
198,'packaging wasnot reliable.',Service,'Negative ',,,,
199,'A dessert good enough for two',Service,Positive,,,,
200,'It is absolutely amazing in terms of taste and quality. ','Food Taste',Positive,,,,
201,'Bon Bistro never disappoints.','Food Taste',Positive,,,,
202,'The packaging and presentation was absolutely gorgeous.',Service,Positive,,,,
203,'An amazing experience overall, highly recommended','Food Taste',Positive,,,
204,'An amazing experience overall, highly recommended',Service,Positive,,,
205,'These fries were around 250 rupees and were the worst fries I have ever eaten','Food Taste','Negative ',,,,
206,'quantity was not good at all they were too much spicy',Service,'Negative ',,,,
207,'Not worth it','Value of Money','Negative ',,,,
208,'love every single bite hot ,fresh ,full of chesse love the sauces with pizza ','Food Taste',Positive,,
209,'Delivery on time',Service,Positive,,,,
210,'Soft and tasty food ','Food Taste',Positive,,,,
211,'Nice presentation, excellent taste and quality of food.','Food Taste',Positive,,,
212,'Loved the Kinder Stecco from The Crave Bar','Food Taste',Positive,,,,
213,'They delivered extraordinary quality burgers and extremely saucy i just loved all of there items','Food Taste',Positive,,,,
214,'The buger was delicious and filled with cheese. .It was extremely mouthwatering.','Food Taste',Positive,,,,
215,'The service was on point',Service,Positive,,,,
216,'The dough which is the trickiest part was also perfect! The added cream cheese was on point.','Food Taste',Positive,,,,
217,'Its great taste n fully of mozerella cheese. We truly love it.','Food Taste',Positive,,,,
218,'We admired the taste, freshness and hygiene.','Food Taste',Positive,,,
219,'Properly Filled with topping, all flavours were different from other it\'s a typical Naan.','Food Taste',Positive,,,
220,'It was hot and fresh so 10/10 ','Food Taste',Positive,,,,
221,'their service was too good',Service,Positive,,,,
222,'the taste was way too good','Food Taste',Positive,,,,
223,'This delizia’s sundae desert great taste nutella sundae is awesome a must try desert','Food Taste',Positive,,,,
224,'Quantity was really good enough',Service,Positive,,,,
225,'Taste was delicious ','Food Taste',Positive,,,,
226,'Best pizza I ever had.','Food Taste',Positive,,,,
227,' It was super juicy and hell amazing!','Food Taste',Positive,,,,
228,'The delivery was timely and all the ingredients were fresh. ','Food Taste',Positive,,,,
229,' It has the right amount of gooeyness and chocolate','Food Taste',Positive,,,,
230,'Thick loaded burger with a beef fillet, a lot of sauce burger','Food Taste',Positive,,,
231,'fast service',Service,Positive,,,,
232,'What a delicious Burger, Awesome taste.','Food Taste',Positive,,,
233,'Food Taste were amazing','Food Taste',Positive,,,,
234,'It was delivered hot, fresh and on time.','Food Taste',Positive,,,
235,' It was a good experience',Service,Positive,,,,
236,'it\'s highly recommended in terms of quality, quantity and hygiene.',Service,Positive,,,
237,'The food was served fresh and hot.','Food Taste',Positive,,,,
238,'It was so packed with flavours was so so yummmy the serving was generous a must try','Food Taste',Positive,,,,
239,'The pasta was soo tasty. Highly recommend ','Food Taste',Positive,,,,
240,'This sandwich it was too salty Taste wasnot good but when tasted so not tempting and it was dry too.','Food Taste',Positive,,,,
241,'Presentation was good grilled and it was looking yummy',Service,Positive,,,,
242,'Must give it a try Heavenly fresh and nothing beats timely delivery','Food Taste',Positive,,,,
243,'Overall pathetic experience',Service,'Negative ',,,,
244,'Bun kabab has stale bun Chicken cheese roll has a tiny chunk of cheese in center. ','Food Taste','Negative ',,,,
245,'The prices are extremely reasonable. The food quality was much better than the usual burger joints in the city but the price was much lesser. ','Value of Money',Positive,,,,
246,' I must say it was worth every penny. The crust was perfectly baked, and the filling was hearty with a generous amount of cheese.','Value of Money',Positive,,,
247,'Worth it Best in Affordable Price','Value of Money',Positive,,,,
248,'The icecream itself is super creamy soft and well flavored with lotus biscuits.','Food Taste',Positive,,,,
249,'A little expensive for serving quantity but definitely worth the taste and its lotus so nvm.','Food Taste',Positive,,,,
250,'MilkyMalt fresh , rich , moist and PERFECT!','Food Taste',Positive,,
251,'Food was really good.. literally never had such amazing balochi tikka before.. they also have memoni khausay which were too good.','Food Taste',Positive,,,,
252,'Great taste and timely delivered.','Food Taste',Positive,,,,
253,'Yummyyy and delicious.','Food Taste',Positive,,,,
254,'Reasonable price 200','Value of Money',Positive,,,,
255,'Everything was at its height, with the perfect size, shape, stuffing, taste and most importantly','Food Taste',Positive
256,'delivery was on time',Service,Positive,,,,
257,'Very scrummy, had genuine biryani spices unlike most biryani centres who mostly just add color.','Food Taste',Positive,,,
258,'The perfect balance of spice was added & the pizza itself was absolutely fresh !','Food Taste',Positive,,,,
259,'It was literally Awesome','Value of Money',Positive,,,,
260,'OMG Burgers never disappoints I tried the classic single and fell in love all over again.','Food Taste',Positive,,,,
261,'It was truly delicious','Food Taste','Negative ',,,,
262,'Every bite was full of flavour,the sauces ,Doners ,Pides,melting in your mouth and giving you a unique flavour.The money you pay is justified with Taste and Quantity','Value of Money',Positive
263,'Its so delicious and flavourful, rich in cheese and chicken','Food Taste',Positive,,,
264,' very reasonable rate','Value of Money',Positive,,,,
265,'So thick and mouthwatering.','Food Taste',Positive,,,,
266,'A must try burger Fairy crunch Hygienic ','Food Taste',Positive,,,,
267,'afortable too','Value of Money',Positive,,,,
268,'Crunchy and Juicy','Food Taste',Positive,,,,
269,'Taste is good infact it was very yummy.','Food Taste',Positive,,,,
270,' highly recommend',Service,Positive,,,,
271,'Quantity, and taste were so so good!','Food Taste',Positive,,,
272,'Perfect taste, perfect spice.','Food Taste',Positive,,,
273,'Loved the ambiance',Ambience,Positive,,,,
274,'Apolo pasta tasted heavenly. It was loaded with chicken and mushroom with a perfect blend of white sauce. Trojan Gyro was good. ','Food Taste',Positive,,,,
275,'It was amazing. Must try.','Food Taste',Positive,,,,
276,' the fires were unfresh.The broast was cold to the core... Never recommending this place to anyone','Food Taste','Negative ',,,,
277,'It was a worst experience',Service,'Negative ',,,,
278,'Quantity and Quality both upto mark.','Food Taste',Positive,,,,
279,'Worth trying','Food Taste',Positive,,,,
280,'No denying its over priced.','Value of Money','Negative ',,,,
281,'Everything came fresh and hot.Seems like great Value of Money','Value of Money',Positive,,,,
282,'Almost a 2lb lotus cheesecake for literally the cheapest rates ever. ','Value of Money',Positive,,,,
283,'Best zinger burger I ever had with lots of sauce and cheese. Not too much crisp and the quantity of chicken was also perfect. What else some one want in just Rs. 330','Value of Money',Positive,,,,
284,'Very different in taste highly recommended for CHEESE lover','Food Taste',Positive,,,,
285,'It was just awesome. Fresh and tasty.','Food Taste',Positive,,,,
286,'Amazing as usual, the quantity was sufficient.',Service,Positive,,,
287,'taste mouth watering.','Food Taste',Positive,,,,
288,'Overall an amazing experience ',Service,Positive,,,,
289,'cost effective rates.','Value of Money',Positive,,,,
290,'Both pizza completely melt in our mouth.','Food Taste',Positive,,,,
291,'price was reasonable too','Value of Money',Positive,,,,
292,'and they delivered on time',Service,Positive,,,,
293,' look good it tasted even better, ingredients were super fresh ','Food Taste',Positive,,,
294,'loved every bite,club sandwich was good too','Food Taste',Positive,,,
295,'Good quantity, Delicious taste','Food Taste',Positive,,,
296,' Easy on pocket','Value of Money',Positive,,,,
297,'creativity on the cake was excellent','Food Taste',Positive,,,,
298,'absolutely amazing so crispy and so syrupy','Food Taste',Positive,,,,
299,'everything was average',Service,Positive,,,,
300,'AMAZING stuff + 10/10 hygiene','Food Taste',Positive,,,,
301,'good-quality pizza Taste 10/10 Hygiene 10/10','Food Taste',Positive,,,,
302,' Packaging 10/10','Food Taste',Positive,,,,
303,' too yummy and delicious ','Food Taste',Positive,,,,
304,' delicious and spicy ','Food Taste',Positive,,,,
305,'good quality ','Food Taste',Positive,,,,
306,'reasonable price','Value of Money',Positive,,,,
307,'it was fresh, hygenic','Food Taste',Positive,,,
308,reasonable ,'Value of Money',Positive,,,,
309,'Mangoes Are Amazing fresh','Food Taste',Positive,,,,
310,reasonable,'Value of Money',Positive,,,,
311,'all of them were heavenly ','Food Taste',Positive,,,,
312,' so nice, the perfect about of sweet and just great! ','Food Taste',Positive,,,
313,' craving was more than satisfied','Food Taste',Positive,,,,
314,'Must try if you are a seafood lover ','Food Taste',Positive,,,,
315,'It is just sooo yummylicious!','Food Taste',Positive,,,,
316,' amazing tasty Biryani ever in reasonable price. ','Food Taste',Positive,,,,
317,'Very reasonable price ','Value of Money',Positive,,,,
318,'good quantity and quality of food','Food Taste',Positive,,,,
319,'simply perfect in Taste','Food Taste',Positive,,,,
320,'bad customer service and lack of communication from such a big food chain',Service,'Negative ',,,,
321,'really upto something cool and next level','Food Taste',Positive,,,,
322,'Really disappointing and worst experience ever.','Food Taste','Negative ',,,,
323,'Really disappointing and worst experience ever.',Service,'Negative ',,,,
324,'Pathetic service',Service,'Negative ',,,,
325,'everything is perfect with delicious taste.','Food Taste',Positive,,,,
326,'cake was horrible in taste','Food Taste','Negative ',,,,
327,' taste was so yummy, quantity and quality was upto the mark','Food Taste',Positive,,,
328,'great taste','Food Taste',Positive,,,,
329,'best pizza fries ever','Food Taste',Positive,,,,
330,' lovely and delicious experience and a nice addition to Karachi eateries',Service,Positive,,,,
331,' lovely and delicious experience and a nice addition to Karachi eateries','Food Taste',Positive,,,,
332,'amazing food','Food Taste',Positive,,,,
333,'well in taste','Food Taste',Positive,,,,
334,'highly recommended for cheese lovers','Food Taste',Positive,,,,
335,'good job keep doing',Service,Positive,,,,
336,'Very reasonable price and good quantity.','Value of Money',Positive,,,,
337,'things made to perfection','Food Taste',Positive,,,,
338,'food is really good','Food Taste',Positive,,,,
339,'definitely better than some other local eateries','Food Taste',Positive,,,,
340,'everything is perfect with delicious taste.','Food Taste',Positive,,,,
341,'the quality amazingly constant','Food Taste',Positive,,,,
342,'packaging and taste is perfect','Food Taste',Positive,,,,
343,'overall experience is satisfying','Food Taste',Positive,,,,
344,'best cupcakes ','Food Taste',Positive,,,,
345,'perfectly balanced',Service,Positive,,,,
346,'very much satisfied',Service,Positive,,,,
347,'super gooey and yummy','Food Taste',Positive,,,,
348,'wholesome experince','Food Taste',Positive,,,,
349,'received on time',Service,Positive,,,,
350,'perfectly sweet','Food Taste',Positive,,,,
351,'good experience in food','Food Taste',Positive,,,,
352,'well done, service was great',Service,Positive,,,
353,'never compromise on quality and quantity ',Service,Positive,,,,
354,'never compromise on quality and quantity ','Food Taste',Positive,,,,
355,'cute packaging',Service,Positive,,,,
356,'taste amazing','Food Taste',Positive,,,,
357,'best smell and taste of mangos','Food Taste',Positive,,,,
358,'fries were fresh with gegerous quantity of sauce','Food Taste',Positive,,,,
359,'arabic ranch was a treat','Food Taste',Positive,,,,
360,'good job team jardin ',Service,Positive,,,,
361,'brand loyality is on peak',Other,Positive,,,,
362,'very milky and moist ','Food Taste',Positive,,,,
363,'overwhelming in taste','Food Taste',Positive,,,,
364,'best tres leche cake ever','Food Taste',Positive,,,,
365,'overall pleasant experience',Service,Positive,,,,
366,'pizza was average quality','Food Taste',Positive,,,,
367,'tasty  pizza','Food Taste',Positive,,,,
368,'actually a good burger you should go for','Food Taste',Positive,,,,
369,'taste is superb','Food Taste',Positive,,,,
370,'service is superb','Food Taste',Positive,,,,
371,'Delicious Taste','Food Taste',Positive,,,,
372,'wonderful experience','Food Taste',Positive,,,,
373,'cake is super moist ','Food Taste',Positive,,,,
374,'prawn biryani doesnot beat the taste of our evergreen beef biryani','Food Taste',Positive,,,,
375,'you are missing out on some good quality pizza','Food Taste',Positive,,,,
376,'this cake would make a wonderful surprise for your loved ones','Food Taste',Positive,,,,
377,'keep up the work ',Other,Positive,,,,
378,'Pathetic service',Service,'Negative ',,,,
379,'exceptional in taste and quality ','Food Taste',Positive,,,,
380,'perfect balance to its sweetness','Food Taste',Positive,,,,
381,'quality and quality plus taste is good','Food Taste',Positive,,,,
382,'the best saucy overloaded','Food Taste',Positive,,,,
383,'freaking loving it','Food Taste',Positive,,,,
384,'simply amazing','Food Taste',Positive,,,,
385,'keep it up guys','Food Taste',Positive,,,,
386,'pasta was buttery','Food Taste',Positive,,,,
387,'so delicious','Food Taste',Positive,,,,
388,'delicious and spicy ','Food Taste',Positive,,,,
389,'taste is upto the mark','Food Taste',Positive,,,,
390,'honestly delicious','Food Taste',Positive,,,,
391,'the best you can get','Food Taste',Positive,,,,
392,'food was amazing and the food was hot and fresh','Food Taste',Positive,,,,
393,'Awsome quality of flavoured Naan','Food Taste',Positive,,,,
394,'It was fresh ,hot and yummy','Food Taste',Positive,,,
395,'Super cheesy & incredibly tasty','Food Taste',Positive,,,,
396,'food taste was not good','Food Taste','Negative ',,,,
397,'yummy taste ','Food Taste',Positive,,,,
398,'delivered before the time',Service,Positive,,,,
399,'Delicious Taste','Food Taste',Positive,,,,
400,'Tawa Pizza is something beyond delicious Full of flavours and spices. It was too yummy and delicious','Food Taste',Positive,,,,
401,'Apple pie was so bad','Food Taste','Negative ',,,,
402,'Not worth it','Value of Money','Negative ',,,,
403,'Awsome taste ','Food Taste',Positive,,,,
404,'service was also good',Service,Positive,,,,
405,'Excellent deal for 4 people in just Rs.1800','Value of Money',Positive,,,,
406,'Taste was also not good and quantity was also not good','Food Taste','Negative ',,,,
407,'food was yummilicious Will recommend it to everyone','Food Taste',Positive,,,,
408,'it stucks.. They are charging 30\%  including 400rs per month & 1.6 on online charges.',Service,'Negative ',,,,
409,'The chicken was soft & creamy and pasta was juicy','Food Taste',Positive,,,,
410,'yummy taste ','Food Taste',Positive,,,,
411,'I like the filling & loved the creamy taste.','Food Taste',Positive,,,,
412,'the food were just owsm my whole family loved it','Food Taste',Positive,,,,
413,'Thank you for the delicious Alfredo pasta','Food Taste',Positive,,,,
414,'Self experience was just owsm','Food Taste',Positive,,,,
415,'pizza fries was so chessy','Food Taste',Positive,,,,
416,'Highly recommended.they serve delicious & hygenic food.Best experience','Food Taste',Positive,,,,
417,'Highly recommended.they serve delicious & hygenic food.Best experience',Service,Positive,,,,
418,'the taste is amazing','Food Taste',Positive,,,,
419,'food was fulfilling in quantity','Food Taste',Positive,,,,
420,'Rich in taste & resonable priced.we had an amazing experience','Value of Money',Positive,,,,
421,'New Pasta taste was amazing','Food Taste',Positive,,,,
422,'pizza sandwich was so yummilicious ','Food Taste',Positive,,,,
423,'I canot expalin the foods quantity were really satisfying me & also their taste','Food Taste',Positive,,,,
424,'I had this tasty tawa pizza, nd trust me it is something beyond delicious.Full of flavours & spices.','Food Taste',Positive,,,
425,'Honestly they were absolutely amazing. They were so crispy & so Syrupy from inside','Food Taste',Positive,,,,
426,'I tried value deal  very good taste very fresh ','Food Taste',Positive,,,,
427,'quick delivery',Service,Positive,,,,
428,'fulfil your cravings with juciest BBQ. Amazing experineced.','Food Taste',Positive,,,,
429,'I got my hands on one of their deal that had one jumbo deal in only 180/-','Value of Money',Positive,,,,
430,'fresh,Hygenic & very Yummy food','Food Taste',Positive,,,
431,'fresh,Hygenic & very Yummy food',Service,'Negative ',,,
432,'the quality of Honey are amazing','Food Taste',Positive,,,,
433,'love their presentation ',Service,Positive,,,,
434,'must say all was so freshly ,chesseliciously,deliciously gooey & full of flavour.','Food Taste',Positive,,
435,'delicious & yummilicious','Food Taste',Positive,,,,
436,'Tried Sauced 7 Loaded Pizza fries','Food Taste',Positive,,,,
437,'They servve fresh, delicious & Hygienic food Best expeience during this pandemic.','Food Taste',Positive,,,
438,'Good exerienced. Ambience is good',Ambience,Positive,,,,
439,'Highly recommended  own experienced I like ambience',Ambience,Positive,,,,
440,'Yummy & tasty','Food Taste',Positive,,,,
441,'Chessey & Saucey ',Service,Positive,,,,
442,'Great and fresh taste','Food Taste',Positive,,,,
443,'Its really Yummy','Food Taste',Positive,,,,
444,'Food was Succulent & yummy','Food Taste',Positive,,,,
445,'Fresh,Tasty & Hygenic food','Food Taste',Positive,,,
446,'Mouth watering & fully Craving','Food Taste',Positive,,,,
447,'Highly Recommend',Other,Positive,,,,
448,'The food was really Tasty & Yummy','Food Taste',Positive,,,,
449,'Try This Its really tasty','Food Taste',Positive,,,,
450,'Mouth craving burger','Food Taste',Positive,,,,
451,'Deal in just 299/- wow','Value of Money',Positive,,,,
452,'it was very good , delicious ','Food Taste',Positive,,,
453,'great thing was that 10\% off','Value of Money',Positive,,,,
454,'its always My favt, & loved','Food Taste',Positive,,,
455,'Experienced was really good',Ambience,Positive,,,,
456,'Amazing 25\% discount On entire Menu ','Value of Money',Positive,,,,
457,'30\% discount on Foodmania deal. Also get card discount on food panda','Value of Money',Positive,,,,
458,'Large Pizza in Only 400','Value of Money',Positive,,,,
459,'Golden dragons chinese made my pre birthday amazing. They never disopoint us.','Food Taste',Positive,,,,
460,'They add some cheese in my life.','Food Taste',Positive,,,,
